participant_id,vis,task_order,correctness,vis_order,duration_ms,log_duration,bc_duration
5e8f53644b34ff22d9b3a1c5,blossom,1,1,1,118428,11.68206046,2.877950687
5e8f53644b34ff22d9b3a1c5,blossom,2,0,1,30307,10.31913399,2.845647378
5e8f53644b34ff22d9b3a1c5,blossom,3,0,1,56167,10.93608467,2.86213513
5e8f53644b34ff22d9b3a1c5,blossom,4,1,1,16163,9.690479958,2.824870184
5e8f53644b34ff22d9b3a1c5,blossom,5,1,1,57154,10.95350466,2.862552177
5e8f53644b34ff22d9b3a1c5,blossom,6,0,1,38990,10.57106048,2.852801342
5e8f53644b34ff22d9b3a1c5,blossom,7,0,1,35004,10.46321762,2.849813991
5e8f53644b34ff22d9b3a1c5,blossom,8,1,1,78123,11.26603979,2.869628524
5e8f53644b34ff22d9b3a1c5,blossom,9,0,1,55216,10.91900805,2.861723891
5e8f53644b34ff22d9b3a1c5,diverging,1,1,2,28637,10.26245487,2.843951398
5e8f53644b34ff22d9b3a1c5,diverging,2,1,2,13606,9.518266151,2.818357255
5e8f53644b34ff22d9b3a1c5,diverging,3,1,2,28895,10.27142385,2.84422196
5e8f53644b34ff22d9b3a1c5,diverging,4,1,2,18733,9.838041953,2.830154488
5e8f53644b34ff22d9b3a1c5,diverging,5,1,2,23756,10.07559041,2.838121987
5e8f53644b34ff22d9b3a1c5,diverging,6,0,2,34475,10.4479897,2.849383242
5e8f53644b34ff22d9b3a1c5,diverging,7,0,2,71416,11.17627721,2.867672738
5e8f53644b34ff22d9b3a1c5,diverging,8,1,2,23314,10.05680932,2.837515288
5e8f53644b34ff22d9b3a1c5,diverging,9,0,2,70550,11.16407696,2.867402262
5e8f53644b34ff22d9b3a1c5,radial,1,0,3,91199,11.42079921,2.872863048
5e8f53644b34ff22d9b3a1c5,radial,2,1,3,24908,10.12294432,2.839634557
5e8f53644b34ff22d9b3a1c5,radial,3,0,3,23714,10.07382087,2.83806499
5e8f53644b34ff22d9b3a1c5,radial,4,1,3,22997,10.04311905,2.837070586
5e8f53644b34ff22d9b3a1c5,radial,5,0,3,31095,10.34480231,2.84640472
5e8f53644b34ff22d9b3a1c5,radial,6,1,3,20727,9.939192477,2.833626175
5e8f53644b34ff22d9b3a1c5,radial,7,0,3,27258,10.21310233,2.842447714
5e8f53644b34ff22d9b3a1c5,radial,8,1,3,19522,9.879297314,2.831584929
5e8f53644b34ff22d9b3a1c5,radial,9,0,3,115109,11.65363478,2.877418862
5f4a4da1575d605c43bef871,diverging,1,1,1,16178,9.691407574,2.82490424
5f4a4da1575d605c43bef871,diverging,2,1,1,17964,9.796125034,2.828680351
5f4a4da1575d605c43bef871,diverging,3,0,1,19433,9.874727931,2.831427485
5f4a4da1575d605c43bef871,diverging,4,1,1,24223,10.09505787,2.838746771
5f4a4da1575d605c43bef871,diverging,5,0,1,37097,10.52129138,2.851436334
5f4a4da1575d605c43bef871,diverging,6,0,1,40518,10.6095016,2.853839917
5f4a4da1575d605c43bef871,diverging,7,1,1,20952,9.949989386,2.833989723
5f4a4da1575d605c43bef871,diverging,8,0,1,27997,10.23985264,2.843265888
5f4a4da1575d605c43bef871,diverging,9,1,1,42342,10.65353478,2.855012964
5f4a4da1575d605c43bef871,blossom,1,0,2,40970,10.62059537,2.854137118
5f4a4da1575d605c43bef871,blossom,2,1,2,29680,10.2982287,2.845025652
5f4a4da1575d605c43bef871,blossom,3,0,2,28108,10.24380951,2.843386279
5f4a4da1575d605c43bef871,blossom,4,1,2,12003,9.392911898,2.813370108
5f4a4da1575d605c43bef871,blossom,5,1,2,13685,9.524055621,2.818582476
5f4a4da1575d605c43bef871,blossom,6,0,2,9541,9.163353581,2.803665807
5f4a4da1575d605c43bef871,blossom,7,1,2,25417,10.14317352,2.840273306
5f4a4da1575d605c43bef871,blossom,8,0,2,22999,10.04320602,2.837073418
5f4a4da1575d605c43bef871,blossom,9,0,2,22686,10.02950327,2.83662624
5f4a4da1575d605c43bef871,radial,1,0,3,11712,9.368369236,2.812368489
5f4a4da1575d605c43bef871,radial,2,1,3,14631,9.590897844,2.821150809
5f4a4da1575d605c43bef871,radial,3,0,3,44707,10.70788537,2.85643679
5f4a4da1575d605c43bef871,radial,4,1,3,23694,10.07297713,2.838037801
5f4a4da1575d605c43bef871,radial,5,1,3,22300,10.01234196,2.83606324
5f4a4da1575d605c43bef871,radial,6,0,3,19736,9.890199658,2.831959595
5f4a4da1575d605c43bef871,radial,7,0,3,24567,10.10915936,2.839196758
5f4a4da1575d605c43bef871,radial,8,1,3,19257,9.86562991,2.831113268
5f4a4da1575d605c43bef871,radial,9,0,3,19343,9.870085876,2.831267285
629642bfde2bf56c1ec2a420,blossom,1,1,1,31006,10.34193601,2.846320478
629642bfde2bf56c1ec2a420,blossom,2,0,1,12866,9.462343452,2.816158719
629642bfde2bf56c1ec2a420,blossom,3,1,1,55536,10.92478674,2.861863321
629642bfde2bf56c1ec2a420,blossom,4,1,1,46219,10.74114625,2.857295201
629642bfde2bf56c1ec2a420,blossom,5,1,1,21451,9.973526543,2.834777629
629642bfde2bf56c1ec2a420,blossom,6,0,1,56237,10.93733018,2.86216503
629642bfde2bf56c1ec2a420,blossom,7,0,1,22375,10.01569954,2.83617365
629642bfde2bf56c1ec2a420,blossom,8,1,1,25265,10.13717532,2.840084368
629642bfde2bf56c1ec2a420,blossom,9,1,1,72985,11.19800922,2.868151751
629642bfde2bf56c1ec2a420,diverging,1,1,2,8784,9.080687164,2.799980929
629642bfde2bf56c1ec2a420,diverging,2,1,2,19988,9.902887372,2.832393866
629642bfde2bf56c1ec2a420,diverging,3,1,2,13030,9.47500967,2.816660356
629642bfde2bf56c1ec2a420,diverging,4,1,2,23324,10.05723815,2.837529184
629642bfde2bf56c1ec2a420,diverging,5,1,2,18503,9.82568816,2.829722216
629642bfde2bf56c1ec2a420,diverging,6,0,2,21013,9.952896573,2.834087384
629642bfde2bf56c1ec2a420,diverging,7,1,2,20890,9.947025855,2.83389007
629642bfde2bf56c1ec2a420,diverging,8,1,2,32753,10.39674984,2.847917294
629642bfde2bf56c1ec2a420,diverging,9,1,2,86598,11.369032,2.871800039
629642bfde2bf56c1ec2a420,radial,1,1,3,27312,10.21508145,2.842508502
629642bfde2bf56c1ec2a420,radial,2,0,3,19640,9.885323582,2.831792197
629642bfde2bf56c1ec2a420,radial,3,0,3,32494,10.38881074,2.847687859
629642bfde2bf56c1ec2a420,radial,4,0,3,19687,9.887713798,2.831874289
629642bfde2bf56c1ec2a420,radial,5,1,3,22129,10.00464424,2.835809634
629642bfde2bf56c1ec2a420,radial,6,1,3,18700,9.836278803,2.830092905
629642bfde2bf56c1ec2a420,radial,7,0,3,25596,10.15019137,2.840493871
629642bfde2bf56c1ec2a420,radial,8,1,3,24700,10.11455852,2.839368476
629642bfde2bf56c1ec2a420,radial,9,0,3,68825,11.13932233,2.86684999
62c35e9517e15b36b957a678,radial,1,1,1,400687,12.90093585,2.896519265
62c35e9517e15b36b957a678,radial,2,1,1,23002,10.04333645,2.837077664
62c35e9517e15b36b957a678,radial,3,0,1,179050,12.09542038,2.885129155
62c35e9517e15b36b957a678,radial,4,1,1,20778,9.941650014,2.833709042
62c35e9517e15b36b957a678,radial,5,1,1,30722,10.33273429,2.846049479
62c35e9517e15b36b957a678,radial,6,1,1,21726,9.986264979,2.835201418
62c35e9517e15b36b957a678,radial,7,0,1,59640,10.99608177,2.863561138
62c35e9517e15b36b957a678,radial,8,1,1,21076,9.955890231,2.834187848
62c35e9517e15b36b957a678,radial,9,1,1,211883,12.26378951,2.88777516
62c35e9517e15b36b957a678,diverging,1,1,2,20217,9.914279114,2.832782181
62c35e9517e15b36b957a678,diverging,2,1,2,15545,9.651494322,2.823429102
62c35e9517e15b36b957a678,diverging,3,1,2,21568,9.978966014,2.834958817
62c35e9517e15b36b957a678,diverging,4,1,2,17122,9.748119465,2.826966
62c35e9517e15b36b957a678,diverging,5,1,2,36586,10.50742093,2.851051766
62c35e9517e15b36b957a678,diverging,6,0,2,58138,10.97057477,2.862958452
62c35e9517e15b36b957a678,diverging,7,1,2,30694,10.33182247,2.846022579
62c35e9517e15b36b957a678,diverging,8,1,2,47622,10.77105012,2.858058705
62c35e9517e15b36b957a678,diverging,9,1,2,164873,12.01293076,2.88377628
62c35e9517e15b36b957a678,blossom,1,1,3,28517,10.25825568,2.843824439
62c35e9517e15b36b957a678,blossom,2,1,3,10495,9.258654232,2.807786941
62c35e9517e15b36b957a678,blossom,3,1,3,60213,11.00564355,2.863785719
62c35e9517e15b36b957a678,blossom,4,1,3,13021,9.474318718,2.816633047
62c35e9517e15b36b957a678,blossom,5,1,3,21493,9.97548258,2.834842823
62c35e9517e15b36b957a678,blossom,6,1,3,16308,9.699411064,2.825197629
62c35e9517e15b36b957a678,blossom,7,1,3,25095,10.1304239,2.839871243
62c35e9517e15b36b957a678,blossom,8,1,3,17862,9.79043083,2.828478466
62c35e9517e15b36b957a678,blossom,9,1,3,92907,11.43935427,2.87323952
62ceba5fdab49dfc90278cbb,blossom,1,0,1,21756,9.987644861,2.835247214
62ceba5fdab49dfc90278cbb,blossom,2,1,1,14808,9.602922854,2.821606674
62ceba5fdab49dfc90278cbb,blossom,3,0,1,13642,9.520908548,2.818460104
62ceba5fdab49dfc90278cbb,blossom,4,1,1,14667,9.593355351,2.821244124
62ceba5fdab49dfc90278cbb,blossom,5,1,1,54100,10.89858946,2.861229017
62ceba5fdab49dfc90278cbb,blossom,6,0,1,608499,13.31875055,2.901303983
62ceba5fdab49dfc90278cbb,blossom,7,1,1,11126,9.317039991,2.810246378
62ceba5fdab49dfc90278cbb,blossom,8,0,1,9642,9.173883835,2.804127782
62ceba5fdab49dfc90278cbb,blossom,9,1,1,12547,9.437236872,2.815157964
62ceba5fdab49dfc90278cbb,diverging,1,1,2,8343,9.029178143,2.797631816
62ceba5fdab49dfc90278cbb,diverging,2,1,2,12778,9.455480221,2.815885999
62ceba5fdab49dfc90278cbb,diverging,3,1,2,6231,8.737292113,2.783511805
62ceba5fdab49dfc90278cbb,diverging,4,0,2,8408,9.036938913,2.797988398
62ceba5fdab49dfc90278cbb,diverging,5,1,2,13952,9.543378146,2.819330946
62ceba5fdab49dfc90278cbb,diverging,6,0,2,21763,9.987966559,2.835257888
62ceba5fdab49dfc90278cbb,diverging,7,0,2,18792,9.841186526,2.830264229
62ceba5fdab49dfc90278cbb,diverging,8,0,2,10446,9.253974409,2.807587681
62ceba5fdab49dfc90278cbb,diverging,9,0,2,13276,9.493713173,2.817397144
62ceba5fdab49dfc90278cbb,radial,1,1,3,9552,9.164505836,2.803716439
62ceba5fdab49dfc90278cbb,radial,2,1,3,10549,9.263786348,2.808005094
62ceba5fdab49dfc90278cbb,radial,3,1,3,10279,9.237858258,2.806899039
62ceba5fdab49dfc90278cbb,radial,4,0,3,9052,9.110741007,2.80133262
62ceba5fdab49dfc90278cbb,radial,5,1,3,9834,9.193601048,2.80498835
62ceba5fdab49dfc90278cbb,radial,6,1,3,11034,9.308736694,2.809899591
62ceba5fdab49dfc90278cbb,radial,7,0,3,8802,9.082734247,2.800073438
62ceba5fdab49dfc90278cbb,radial,8,1,3,10172,9.227394127,2.806449877
62ceba5fdab49dfc90278cbb,radial,9,1,3,23766,10.07601127,2.838135538
63474e67a5fd298c6103c409,blossom,1,1,1,17633,9.777527425,2.82801953
63474e67a5fd298c6103c409,blossom,2,1,1,20878,9.946451252,2.833870736
63474e67a5fd298c6103c409,blossom,3,0,1,88665,11.3926205,2.872286742
63474e67a5fd298c6103c409,blossom,4,0,1,16364,9.702839079,2.825323047
63474e67a5fd298c6103c409,blossom,5,1,1,15350,9.638870753,2.822958358
63474e67a5fd298c6103c409,blossom,6,0,1,13367,9.500544262,2.817665072
63474e67a5fd298c6103c409,blossom,7,0,1,22142,10.00523154,2.835829006
63474e67a5fd298c6103c409,blossom,8,0,1,57724,10.96342831,2.862788651
63474e67a5fd298c6103c409,blossom,9,0,1,25705,10.1544408,2.840627171
63474e67a5fd298c6103c409,radial,1,0,2,30494,10.32528522,2.845829474
63474e67a5fd298c6103c409,radial,2,1,2,31686,10.36363022,2.846956037
63474e67a5fd298c6103c409,radial,3,1,2,29368,10.28766093,2.844709675
63474e67a5fd298c6103c409,radial,4,1,2,53077,10.87949897,2.860763205
63474e67a5fd298c6103c409,radial,5,1,2,23728,10.07441106,2.838084004
63474e67a5fd298c6103c409,radial,6,1,2,13256,9.492205559,2.817337928
63474e67a5fd298c6103c409,radial,7,0,2,29363,10.28749066,2.844704574
63474e67a5fd298c6103c409,radial,8,0,2,117065,11.67048462,2.877734733
63474e67a5fd298c6103c409,radial,9,0,2,41494,10.63330412,2.854476205
63474e67a5fd298c6103c409,diverging,1,1,3,31800,10.36722157,2.847060797
63474e67a5fd298c6103c409,diverging,2,1,3,18560,9.828764006,2.829830014
63474e67a5fd298c6103c409,diverging,3,1,3,12723,9.451166658,2.815714267
63474e67a5fd298c6103c409,diverging,4,0,3,25172,10.13348754,2.839968015
63474e67a5fd298c6103c409,diverging,5,1,3,38432,10.55664572,2.852408372
63474e67a5fd298c6103c409,diverging,6,0,3,18483,9.82460667,2.829684287
63474e67a5fd298c6103c409,diverging,7,1,3,16814,9.729967152,2.826310406
63474e67a5fd298c6103c409,diverging,8,0,3,20992,9.951896692,2.834053806
63474e67a5fd298c6103c409,diverging,9,0,3,38434,10.55669776,2.852409794
63d209778cf36665be2d42ec,radial,1,1,1,15897,9.673885691,2.824259127
63d209778cf36665be2d42ec,radial,2,1,1,49237,10.80440065,2.858901075
63d209778cf36665be2d42ec,radial,3,1,1,81943,11.31377916,2.870644559
63d209778cf36665be2d42ec,radial,4,1,1,47742,10.77356679,2.858122606
63d209778cf36665be2d42ec,radial,5,1,1,17443,9.766693701,2.827632644
63d209778cf36665be2d42ec,radial,6,1,1,29937,10.30685045,2.845282601
63d209778cf36665be2d42ec,radial,7,0,1,53253,10.88280942,2.860844198
63d209778cf36665be2d42ec,radial,8,1,1,25074,10.12958673,2.839844781
63d209778cf36665be2d42ec,radial,9,0,1,23870,10.08037772,2.838276015
63d209778cf36665be2d42ec,blossom,1,0,2,17606,9.775995032,2.827964893
63d209778cf36665be2d42ec,blossom,2,0,2,35556,10.4788642,2.850254259
63d209778cf36665be2d42ec,blossom,3,1,2,16119,9.687753979,2.824770041
63d209778cf36665be2d42ec,blossom,4,0,2,76305,11.24249375,2.86912127
63d209778cf36665be2d42ec,blossom,5,0,2,104192,11.55399063,2.875513345
63d209778cf36665be2d42ec,blossom,6,1,2,39600,10.5865844,2.853222396
63d209778cf36665be2d42ec,blossom,7,0,2,19444,9.875293818,2.831446996
63d209778cf36665be2d42ec,blossom,8,1,2,10566,9.265396578,2.808073462
63d209778cf36665be2d42ec,blossom,9,0,2,65528,11.09023281,2.865740924
63d209778cf36665be2d42ec,diverging,1,1,3,9535,9.162724518,2.803638157
63d209778cf36665be2d42ec,diverging,2,1,3,29706,10.29910432,2.845051782
63d209778cf36665be2d42ec,diverging,3,1,3,10635,9.271905728,2.808349449
63d209778cf36665be2d42ec,diverging,4,1,3,24772,10.11746926,2.83946092
63d209778cf36665be2d42ec,diverging,5,0,3,38538,10.55940005,2.852483609
63d209778cf36665be2d42ec,diverging,6,0,3,15752,9.66472262,2.823920227
63d209778cf36665be2d42ec,diverging,7,0,3,18103,9.803832949,2.828953007
63d209778cf36665be2d42ec,diverging,8,1,3,11093,9.314069558,2.810122431
63d209778cf36665be2d42ec,diverging,9,0,3,7093,8.866863661,2.789953592
63ecff07b619306f41db42fa,diverging,1,1,1,22220,10.00874806,2.83594492
63ecff07b619306f41db42fa,diverging,2,1,1,44422,10.70149012,2.85627062
63ecff07b619306f41db42fa,diverging,3,0,1,14674,9.593832499,2.821262233
63ecff07b619306f41db42fa,diverging,4,0,1,34501,10.44874359,2.84940462
63ecff07b619306f41db42fa,diverging,5,1,1,31156,10.34676212,2.846462272
63ecff07b619306f41db42fa,diverging,6,0,1,32132,10.3776077,2.84736304
63ecff07b619306f41db42fa,diverging,7,1,1,35007,10.46330332,2.849816409
63ecff07b619306f41db42fa,diverging,8,0,1,27756,10.23120731,2.843002282
63ecff07b619306f41db42fa,diverging,9,0,1,99873,11.51165466,2.87468394
63ecff07b619306f41db42fa,blossom,1,1,2,41747,10.63938287,2.854637875
63ecff07b619306f41db42fa,blossom,2,1,2,28413,10.25460207,2.843713827
63ecff07b619306f41db42fa,blossom,3,1,2,39611,10.58686214,2.853229909
63ecff07b619306f41db42fa,blossom,4,1,2,20517,9.92900909,2.833282057
63ecff07b619306f41db42fa,blossom,5,1,2,11596,9.35841549,2.811959868
63ecff07b619306f41db42fa,blossom,6,1,2,16185,9.691840166,2.824920118
63ecff07b619306f41db42fa,blossom,7,1,2,27810,10.23315095,2.843061613
63ecff07b619306f41db42fa,blossom,8,0,2,29845,10.3037726,2.84519096
63ecff07b619306f41db42fa,blossom,9,1,2,76766,11.24851711,2.86925142
63ecff07b619306f41db42fa,radial,1,1,3,30230,10.31659009,2.845571959
63ecff07b619306f41db42fa,radial,2,0,3,68626,11.13642675,2.866785085
63ecff07b619306f41db42fa,radial,3,0,3,19188,9.862040363,2.830989028
63ecff07b619306f41db42fa,radial,4,1,3,25448,10.14439243,2.840311653
63ecff07b619306f41db42fa,radial,5,1,3,21542,9.977759797,2.834918667
63ecff07b619306f41db42fa,radial,6,1,3,16662,9.720885957,2.825980902
63ecff07b619306f41db42fa,radial,7,0,3,23139,10.04927478,2.8372708
63ecff07b619306f41db42fa,radial,8,0,3,28582,10.26053243,2.843893297
63ecff07b619306f41db42fa,radial,9,1,3,59012,10.98549609,2.863311653
63f794e7d8d24753edbbb136,diverging,1,1,1,26685,10.19185689,2.84179257
63f794e7d8d24753edbbb136,diverging,2,1,1,29651,10.29725113,2.84499647
63f794e7d8d24753edbbb136,diverging,3,1,1,34786,10.45697029,2.849637545
63f794e7d8d24753edbbb136,diverging,4,1,1,23018,10.0440318,2.8371003
63f794e7d8d24753edbbb136,diverging,5,1,1,31901,10.37039264,2.847153191
63f794e7d8d24753edbbb136,diverging,6,1,1,42353,10.65379454,2.855019832
63f794e7d8d24753edbbb136,diverging,7,0,1,19948,9.900884167,2.832325426
63f794e7d8d24753edbbb136,diverging,8,1,1,225860,12.32767062,2.888739992
63f794e7d8d24753edbbb136,diverging,9,1,1,90178,11.40954077,2.872633457
63f794e7d8d24753edbbb136,radial,1,1,2,44124,10.69475913,2.856095335
63f794e7d8d24753edbbb136,radial,2,1,2,19918,9.899379124,2.832273974
63f794e7d8d24753edbbb136,radial,3,0,2,22553,10.02362337,2.836433713
63f794e7d8d24753edbbb136,radial,4,1,2,40102,10.59918149,2.853562431
63f794e7d8d24753edbbb136,radial,5,1,2,20885,9.946786477,2.833882016
63f794e7d8d24753edbbb136,radial,6,1,2,31085,10.34448067,2.846395271
63f794e7d8d24753edbbb136,radial,7,0,2,29017,10.27563714,2.844348775
63f794e7d8d24753edbbb136,radial,8,1,2,28145,10.245125,2.843426268
63f794e7d8d24753edbbb136,radial,9,0,2,29470,10.29112808,2.844813468
63f794e7d8d24753edbbb136,blossom,1,1,3,18124,9.804992306,2.828993955
63f794e7d8d24753edbbb136,blossom,2,1,3,25152,10.1326927,2.839942918
63f794e7d8d24753edbbb136,blossom,3,1,3,54322,10.90268458,2.861328545
63f794e7d8d24753edbbb136,blossom,4,1,3,16033,9.682404377,2.824573246
63f794e7d8d24753edbbb136,blossom,5,1,3,50587,10.83144991,2.859577287
63f794e7d8d24753edbbb136,blossom,6,1,3,43454,10.67945819,2.855695374
63f794e7d8d24753edbbb136,blossom,7,1,3,77039,11.25206707,2.869328
63f794e7d8d24753edbbb136,blossom,8,1,3,20637,9.93484086,2.833479271
